level_2_key,title,nav_order,one_liner,scope_in,scope_out,newcomer_question_it_answers,primary_sources,level_3_pages,status
start_here,Start Here,1,"The plain-language front door: what We The Citizens is, in sixty seconds and then in five minutes.",What the movement is; who it is for; the one-sentence and one-paragraph versions; a map of the rest of this site; the single call to action to app.WeTheCitizens.io.,"Any mechanism detail (how awards are computed, how evidence chains work) — those get linked, never explained here.",What is this and why should I care?,~/BGit/act3/we_citizens/CLAUDE.md (Charter); ~/BGit/act3/we_citizens/pm/logged_out.mdx,overview.mdx; what_it_is.mdx; who_it_is_for.mdx; five_minute_tour.mdx,created
the_problem,The Problem,2,"What is actually broken in democracy today, stated without jargon and without asking the reader to already agree.","Representative democracy not working as promised; capture of institutions; the deliberate-deadlock pattern (classify a slice, then demand 100% proof); why arguing on social media changes nothing.",Our solution — that is how_it_works. Naming specific living people — that lives in the politician areas under sourcing rules.,Why does anything need fixing?,~/BGit/act3/we_citizens/CLAUDE.md (Pillar 4); ~/BGit/act3/data_we_citizens/problems/,overview.mdx; democracy_as_promised.mdx; the_deadlock_pattern.mdx; why_arguing_online_fails.mdx,created
the_movement,The Movement,3,"Who We The Citizens is: the charter, the four pillars, and what joining actually means.","Charter and vision; the four pillars in plain language; the two personas (citizen, admin); what membership costs and does not cost; the paid-supporter option; how decisions inside the movement are made.",Product mechanics; the paired social network (see repos).,Who is behind this and what am I joining?,~/BGit/act3/we_citizens/CLAUDE.md; ~/BGit/act3/we_citizens/pm/paid_supporter.mdx; ~/BGit/act3/we_citizens/pm/citizens.mdx,overview.mdx; charter.mdx; four_pillars.mdx; who_can_join.mdx,created
how_it_works,How It Works,4,"The core loop end to end: record a position, reason it out, decide, and optionally publish the fix.",The six-step loop; individual mode vs community mode at a glance; what the app does for you and what it never does for you; a worked walkthrough of one real issue.,Install steps (get_started); the internals of any single pillar (those have their own areas).,What do I actually DO with it?,~/BGit/act3/we_citizens/CLAUDE.md (How Citizens Use It); ~/BGit/act3/we_citizens/pm/middle_flow.mdx; ~/BGit/act3/we_citizens/pm/webapp.mdx,overview.mdx; the_core_loop.mdx; individual_vs_community_mode.mdx; a_worked_example.mdx,created
get_started,Get Started,5,"Running We The Citizens: hosted at app.WeTheCitizens.io, or local-first on your own computer.",Hosted vs localhost:4444; first-run mode selection; the movement data repo and why the app asks for it; signing in (optional on localhost); the wtcx CLI and the MCP server.,Contributor build instructions and repo layout — those live in repos.,How do I get it running?,~/BGit/act3/we_citizens/pm/mode_selection.mdx; ~/BGit/act3/we_citizens/pm/data_repo_gate.mdx; ~/BGit/act3/we_citizens/pm/cli.mdx; ~/BGit/act3/we_citizens/pm/mcp.mdx,overview.mdx; use_it_hosted.mdx; run_it_on_your_computer.mdx; first_run.mdx,created
social_contract,The Social Contract,6,The reference standard everything is measured against — the Constitution and representative democracy as promised.,Why a movement needs a fixed yardstick; the US social contract and how it is written down here; how other countries plug in their own; what counts as misalignment vs disagreement.,Individual policy fights — those are decisions and problems.,Measured against WHAT? Who says you are right?,~/BGit/act3/we_citizens/CLAUDE.md (Charter); ~/BGit/act3/we_citizens/pm/facts.mdx; ~/BGit/act3/we_citizens/pm/metaphysics.mdx,overview.mdx; why_a_yardstick.mdx; the_us_social_contract.mdx; misalignment_vs_disagreement.mdx,created
problems,Problems,7,"The movement's ranked catalog of what is wrong, each one sourced, and open for citizens to add to.","What a problem record is; root causes; how problems are ranked; the current catalog (Epstein files withheld, JFK records withheld, Congress exempt from its own laws, settlements paid and hidden, the economy rigged); how any citizen proposes a new one.",Proposed legislative language that fixes a problem — that is fix_laws and good_bills.,What specific problems are you working on?,~/BGit/act3/data_we_citizens/problems/; ~/BGit/act3/we_citizens/pm/problems.mdx; ~/BGit/act3/we_citizens/pm/proposals.mdx,overview.mdx; what_is_a_problem_record.mdx; how_problems_are_ranked.mdx; the_current_catalog.mdx,created
laws,Laws,8,"The four law libraries at a glance, and the one distinction that makes them make sense: who wrote it and did anyone let it vote.","The map of the four libraries (problem laws, fix bills, good laws, and the fixing process); the vocabulary — a law is enacted, a bill is language nobody filed; why the movement keeps them apart.",The contents of any one library — each has its own area below.,What is the difference between a law and a bill here?,~/BGit/act3/we_citizens/pm/laws.mdx; ~/BGit/act3/we_citizens/pm/laws_good.mdx; ~/BGit/act3/data_we_citizens/laws/,overview.mdx; the_four_libraries.mdx; law_vs_bill.mdx; how_a_record_is_sourced.mdx,created
problem_laws,Problem Laws,9,"The enacted laws the American people did not want, were not asked about, and are governed by anyway.","What makes a law a problem law and who approves the list; the badness rating 1 to 100 and the citizen vote on it; root causes each law creates; the frozen key and why a record never silently changes; how a citizen reports one, sources mandatory at the door.",How a named person voted on them — that is monkey and voting_records.,Which laws are the ones actually doing the damage?,~/BGit/act3/data_we_citizens/laws/problem_laws/; ~/BGit/act3/we_citizens/pm/laws.mdx; ~/BGit/act3/we_citizens/pm/monkey.mdx (the Monkey List),overview.mdx; what_makes_a_law_a_problem.mdx; how_badness_is_rated.mdx; report_a_problem_law.mdx,created
fix_laws,Fixing the Law,10,Pillar 2 in practice: how a problem citizens named becomes real legislative language somebody could file tomorrow.,The path from problem to root causes to drafted sections; the coverage matrix that shows which root causes a draft closes and which it visibly does not; packages of bills that only close the argument together; who writes them and how citizens propose a fix.,The finished drafts themselves — those are good_bills.,How does a complaint turn into an actual law?,~/BGit/act3/we_citizens/pm/laws.mdx (Part B); ~/BGit/act3/data_we_citizens/problems/joins/problem_law.yaml; ~/BGit/act3/we_citizens/CLAUDE.md (Pillar 2),overview.mdx; from_problem_to_bill.mdx; the_coverage_matrix.mdx; propose_a_fix.mdx,created
